cite,type,unit
Dessler:1991aa,refs,1
"Fearon:1991aa	",refs,1
King:1994aa,refs,1
McDermott:2011aa,refs,1
Singer:1961aa,refs,1
Waltz:2010aa,refs,1
Jervis:1985aa,sups,1
McFarland:1977aa,sups,1
Mearsheimer:2013aa,sups,1
Mesquita:1985aa,sups,1
Walt:1998aa,sups,1
Mearsheimer:2001aa,refs,2
Ikenberry:2001aa,-,2
Keohane:2005aa,refs,2
Mearsheimer:1994aa,refs,2
Moravcsik:1997aa,refs,2
Waltz:1979aa,refs,2
Wendt:1992aa,refs,2
Grieco:1988aa,sups,2
Grieco:1993aa,sups,2
Hopf:1998aa,sups,2
Rathbun:2011aa,sups,2
Ruggie:1998aa,sups,2
Branch:2011aa,refs,3
hobbes:1985leviathan,refs,3
Krasner:1976aa,refs,3
Busch:2007ab,,13
Spruyt:1996aa,refs,3
Tilly:1993aa,refs,3
NA,,6
NA,,7
NA,,8
Weber:1968,refs,3
Acemoglu:2001aa,sups,3
Bean:1973aa,sups,3
Lake:1996aa,sups,3
Lake:2003aa,sups,3
STASAVAGE:2014aa,sups,3
Wendt:2008aa,sups,3
Croco:2011ab,refs,4
Mesquita:2005aa,refs,4
Milner:1997aa,refs,4
Putnam:1988aa,refs,4
Copelovitch:2014ac,,10
Rogowski:1987aa,refs,4
Tomz:2007aa,refs,4
Cole:2015ab,,12
Clark:2001aa,sups,4
Fearon:1998aa,sups,4
Gourevitch:1978ab,sups,4
Schultz:2005aa,sups,4
TOMZ:2013aa,sups,4
WEEKS:2012aa,sups,4
Buthe:2012aa,refs,5
Cooley:2002aa,refs,5
Evangelista:1995aa,refs,5
Horowitz:2010aa,refs,5
Keck:1999aa,refs,5
Moravcsik:1991aa,refs,5
buthe:2004governance,sups,5
Finnemore:1998aa,sups,5
Gilli:2014aa,sups,5
Donno:2014ab,,11
Hyde:2011aa,sups,5
Kim:2013aa,sups,5
Murdie:2011aa,sups,5
PELC:2014aa,,12
Tallberg:2014ab,sups,5
Jervis:1976aa,-,6
Frieden:1999aa,refs,6
Jervis:1988aa,refs,6
Lake:1999aa,refs,6
GRANT:2005aa,,12
Morrow:1999aa,refs,6
Rogowski:1999aa,refs,6
Walt:1999aa,refs,6
Herrmann:1995aa,sups,6
Levy:1997ab,sups,6
Mercer:2005aa,sups,6
Zagare:1999ab,sups,6
Fearon:1994ab,refs,7
Simmons:2010ab,,12
Fearon:1995ab,refs,7
Jervis:1978ab,refs,7
Kenwick:2015ab,refs,7
Powell:2006ab,refs,7
