unit,topics,,,,,date_start,date_end
1,What is International Relations? How is it Evaluated?,,,,,,
2,Anarchy and the Paradigms,,,,,,
3,The State,,,,,,
4,Domestic Politics and Institutions,,,,,,
5,Transnational and Non-State Actors,,,,,,
6,Strategic Choice Approach,,,,,,
7,Interstate Conflict,,,,,,
8,Civil Conflict,,,,,,
9,Conflict Duration & Resolution,,,,,,
10,International Institutions: Design,,,,,,
11,"International Institutions: Compliance, Influence, and Enforcement",,,,,,
12,International Institutions: Human Rights Regime,,,,,,
